"Ticker","Company","Industry"
"ACLS","Axcelis Technologies","Semiconductor Equipment & Materials"
"ACMR","ACM Research","Semiconductor Equipment & Materials"
"ADI","Analog Devices","Semiconductors"
"ALAB","Astera Labs","Semiconductors"
"ALGM","Allegro Microsystems","Semiconductors"
"AMAT","Applied Mat","Semiconductor Equipment & Materials"
"AMBA","Ambarella","Semiconductor Equipment & Materials"
"AMD","Advanced Micro Devices","Semiconductors"
"AMKR","Amkor Tech","Semiconductor Equipment & Materials"
"ARM","ARM Holdings","Semiconductors"
"ASML","ASML Holding","Semiconductor Equipment & Materials"
"ASX","ASE Technology Holding Co","Semiconductors"
"AVGO","Broadcom","Semiconductors"
"CAMT","Camtek","Semiconductor Equipment & Materials"
"CRDO","Credo Technology Group","Semiconductors"
"CRUS","Cirrus Logic","Semiconductors"
"DIOD","Diodes","Semiconductors"
"ENTG","Entegris","Semiconductor Equipment & Materials"
"FORM","FormFactor","Semiconductor Equipment & Materials"
"GFS","GLOBALFOUNDRIES","Semiconductors"
"HIMX","Himax Techs","Semiconductors"
"INTC","Intel","Semiconductors"
"IPGP","IPG Photonics","Semiconductor Equipment & Materials"
"KLAC","KLA","Semiconductor Equipment & Materials"
"KLIC","Kulicke & Soffa Indus","Semiconductor Equipment & Materials"
"LRCX","Lam Research","Semiconductor Equipment & Materials"
"LSCC","Lattice Semiconductor","Semiconductors"
"MCHP","Microchip Technology","Semiconductors"
"MPWR","Monolithic Power Systems","Semiconductors"
"MRVL","Marvell Tech","Semiconductors"
"MTSI","MACOM Technology Solns","Semiconductors"
"MU","Micron Technology","Semiconductors"
"NVDA","NVIDIA","Semiconductors"
"NVMI","Nova","Semiconductor Equipment & Materials"
"NXPI","NXP Semiconductors","Semiconductors"
"ON","ON Semiconductor","Semiconductors"
"ONTO","Onto Innovation","Semiconductor Equipment & Materials"
"PI","Impinj","Semiconductors"
"PLAB","Photronics","Semiconductor Equipment & Materials"
"POWI","Power Integrations","Semiconductors"
"QCOM","Qualcomm","Semiconductors"
"QRVO","Qorvo","Semiconductors"
"RMBS","Rambus","Semiconductors"
"SIMO","Silicon Motion Technology","Semiconductors"
"SITM","SiTime","Semiconductors"
"SLAB","Silicon Laboratories","Semiconductors"
"SMTC","Semtech","Semiconductors"
"STM","STMicroelectronics","Semiconductors"
"SWKS","Skyworks Solutions","Semiconductors"
"SYNA","Synaptics","Semiconductors"
"TER","Teradyne","Semiconductor Equipment & Materials"
"TSEM","Tower Semiconductor","Semiconductors"
"TSM","Taiwan Semiconductor","Semiconductors"
"TXN","Texas Instruments","Semiconductors"
"UMC","United Microelectronics","Semiconductors"
"VECO","Veeco Instruments","Semiconductor Equipment & Materials"
"VSH","Vishay Intertechnology","Semiconductors"
"Summary"," "," "
